Block_ID,N_Number,Cmd_F,Cmd_S,Is_G01,Is_G02,Is_G03,Is_Traori,Is_Cycle800,Is_MCALL_Sub,C832_Tol,C832_Mode,Tgt_X,Tgt_Y,Tgt_Z,Tgt_B,Tgt_C,Delta_3D,Delta_Rot,Tool_Vector_Delta,Kinematic_Blend_Ratio,Sharpness_Angle,Is_Motion_Block,Is_Reversal_X,Is_Reversal_Y,Is_Reversal_Z,Theo_Duration,Duration_Sec,Target_Feedrate
84,84,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.657,-221.112,122.425,0.0,0.0,0.3938019806958786,0.0,0.0,0.0,0.10047479435112372,1,0,0,0,0.015752079227835142,0.052000000000000005,454.3869008029368
85,85,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.541,-220.735,122.425,0.0,0.0,0.39444264475331386,0.0,0.0,0.0,0.09911134249874212,1,0,0,0,0.015777705790132553,0.044,537.8763337545189
86,86,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.386,-220.372,122.425,0.0,0.0,0.3947074866277558,0.0,0.0,0.0,0.10506218349490522,1,0,0,0,0.01578829946511023,0.04800000000000001,493.38435828469466
87,87,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-161.196,-220.027,122.425,0.0,0.0,0.39385911186618233,0.0,0.0,0.0,0.09983826931548039,1,0,0,0,0.015754364474647294,0.04000000000000001,590.7886677992734
88,88,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-160.972,-219.702,122.425,0.0,0.0,0.3947163538542429,0.0,0.0,0.0,0.10006228270166435,1,0,0,0,0.015788654154169718,0.02,1184.1490615627288
89,89,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-160.716,-219.402,122.425,0.0,0.0,0.3943805269026438,0.0,0.0,0.0,0.1029643885577563,1,0,0,0,0.015775221076105753,0.016,1478.9269758849143
90,90,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-160.614,-219.298,122.425,0.0,0.0,0.14567086187703315,0.0,0.0,0.0,0.069263674907393,1,0,0,0,0.005826834475081326,0.008,1092.5314640777488
91,91,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-160.322,-219.032,122.425,0.0,0.0,0.3949936708353644,0.0,0.0,0.0,0.056269738101508,1,0,0,0,0.015799746833414573,0.015799746833414573,1500.0
92,92,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-160.005,-218.798,122.425,0.0,0.0,0.39401142115427157,0.0,0.0,0.0,0.10294981539193009,1,0,0,0,0.01576045684617086,0.01576045684617086,1500.0
93,93,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-159.666,-218.597,122.425,0.0,0.0,0.394109121944667,0.0,0.0,0.0,0.10068942711823145,1,0,0,0,0.01576436487778668,0.01576436487778668,1500.0
94,94,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-159.308,-218.431,122.425,0.0,0.0,0.3946137351892378,0.0,0.0,0.0,0.10101993039297522,1,0,0,0,0.01578454940756951,0.01578454940756951,1500.0
95,95,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-158.936,-218.302,122.425,0.0,0.0,0.39373214245219335,0.0,0.0,0.0,0.1003795209759368,1,0,0,0,0.015749285698087735,0.015749285698087735,1500.0
96,96,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-158.552,-218.212,122.425,0.0,0.0,0.3944058823090901,0.0,0.0,0.0,0.10357857697404423,1,0,0,0,0.0157762352923636,0.0157762352923636,1500.0
97,97,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-158.161,-218.161,122.425,0.0,0.0,0.3943120591612585,0.0,0.0,0.0,0.10051705012096199,1,0,0,0,0.01577248236645034,0.01577248236645034,1500.0
98,98,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-157.767,-218.149,122.425,0.0,0.0,0.39418269875782763,0.0,0.0,0.0,0.09925509658671389,1,0,0,0,0.015767307950313107,0.015767307950313107,1500.0
99,99,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-157.331,-218.157,122.425,0.0,0.0,0.4360733883189919,0.0,0.0,0.0,0.04879400568231243,1,0,1,0,0.017442935532759676,0.017442935532759676,1500.0
100,100,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-92.931,-218.157,122.425,0.0,0.0,64.39999999999999,0.0,0.0,0.0,0.018346565113141186,1,0,0,0,2.5759999999999996,2.5759999999999996,1500.0
101,101,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-92.388,-218.177,122.425,0.0,0.0,0.543368199290307,0.0,0.0,0.0,0.03681577012372794,1,0,0,0,0.02173472797161228,0.02173472797161228,1500.0
102,102,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-91.849,-218.237,122.425,0.0,0.0,0.542329235796856,0.0,0.0,0.0,0.07404507556374812,1,0,0,0,0.02169316943187424,0.02169316943187424,1500.0
103,103,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-91.315,-218.336,122.425,0.0,0.0,0.5430994384088517,0.0,0.0,0.0,0.0724511383395774,1,0,0,0,0.021723977536354067,0.021723977536354067,1500.0
104,104,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-90.791,-218.475,122.425,0.0,0.0,0.5421226798428523,0.0,0.0,0.0,0.07598337424401085,1,0,0,0,0.021684907193714093,0.021684907193714093,1500.0
